Incident_ID,CI_Name,CI_Cat,CI_Subcat,Impact,Urgency,Priority,Category,Status,No_of_Reassignments,Handle_Time_hrs,Closure_Code,Open_Time
IM0000036,SUB222,server,SQL Server,1,2,5,request,closed,30,1026.97,Other,2012-01-07 00:00:00
IM0000037,SUB808,storage,Network Switch,5,3,4,incident,open,12,1053.59,Pending,2013-08-08 00:00:00
IM0000038,SUB050,storage,SQL Server,2,4,5,incident,closed,12,435.75,Pending,2013-01-11 00:00:00
IM0000039,SUB123,subapplication,File Server,2,1,4,request,in-progress,28,3795.71,Resolved,2014-01-18 00:00:00
IM0000040,SUB780,network,File Server,1,2,2,request,open,11,2854.94,Resolved,2012-06-23 00:00:00
IM0000041,SUB471,subapplication,SQL Server,1,5,5,incident,in-progress,23,1328.32,Resolved,2012-12-03 00:00:00
IM0000042,SUB541,storage,Web Application,4,5,3,incident,closed,15,1721.18,Resolved,2013-03-15 00:00:00
IM0000043,SUB298,subapplication,Network Switch,3,4,1,request,open,15,3881.9,Other,2012-10-22 00:00:00
IM0000044,SUB449,subapplication,Email Service,4,1,5,incident,open,6,2305.22,Resolved,2013-11-02 00:00:00
IM0000045,SUB121,storage,SQL Server,3,3,4,request,closed,21,2903.03,Pending,2014-03-07 00:00:00
IM0000046,SUB031,server,Email Service,4,4,3,request,in-progress,13,1406.27,Pending,2013-10-15 00:00:00
IM0000047,SUB062,network,SQL Server,4,1,1,incident,in-progress,24,1393.67,Resolved,2014-07-15 00:00:00
IM0000048,SUB600,storage,SQL Server,4,2,5,incident,closed,11,3657.27,Resolved,2014-04-06 00:00:00
IM0000049,SUB282,server,Network Switch,5,4,4,incident,open,4,3929.76,Other,2013-02-13 00:00:00
IM0000050,SUB442,database,Network Switch,3,3,5,incident,closed,8,1044.56,Other,2013-11-30 00:00:00
IM0000051,SUB452,network,Network Switch,1,2,4,incident,in-progress,12,3027.0,Other,2012-10-30 00:00:00
IM0000052,SUB462,network,SQL Server,1,2,2,incident,in-progress,18,3866.35,Other,2014-01-02 00:00:00
IM0000053,SUB379,server,Email Service,5,3,4,request,open,21,1437.93,Resolved,2013-11-28 00:00:00
IM0000054,SUB139,server,File Server,4,4,4,request,closed,16,531.36,Resolved,2014-03-07 00:00:00
IM0000055,SUB536,storage,File Server,4,2,3,request,open,23,2434.75,Resolved,2013-07-30 00:00:00
IM0000056,SUB837,subapplication,Network Switch,1,4,5,incident,closed,25,57.72,Resolved,2013-12-14 00:00:00
IM0000057,SUB569,server,SQL Server,5,5,3,request,closed,20,3438.41,Resolved,2014-04-20 00:00:00
IM0000058,SUB029,server,Network Switch,3,5,5,incident,in-progress,8,2354.72,Pending,2014-12-25 00:00:00
IM0000059,SUB893,server,Network Switch,2,4,5,request,open,24,2760.8,Other,2012-02-14 00:00:00
IM0000060,SUB554,network,Network Switch,4,1,2,incident,closed,24,386.48,Resolved,2012-09-17 00:00:00
IM0000061,SUB702,storage,Web Application,5,5,1,incident,open,23,1983.95,Pending,2012-07-17 00:00:00
IM0000062,SUB588,server,Web Application,4,4,3,incident,closed,25,2288.85,Pending,2012-05-11 00:00:00
IM0000063,SUB585,subapplication,Network Switch,4,1,3,request,closed,14,2174.12,Pending,2012-03-25 00:00:00
IM0000064,SUB890,server,SQL Server,5,4,4,request,open,10,1976.88,Pending,2013-09-04 00:00:00
IM0000065,SUB901,database,Web Application,5,4,3,request,closed,0,612.01,Other,2013-12-22 00:00:00
IM0000066,SUB512,server,Email Service,3,5,3,request,in-progress,0,3303.34,Pending,2013-07-02 00:00:00
IM0000067,SUB206,server,Network Switch,2,5,4,incident,open,9,646.95,Pending,2014-11-01 00:00:00
IM0000068,SUB453,subapplication,File Server,5,3,2,incident,in-progress,22,2390.29,Pending,2013-08-20 00:00:00
IM0000069,SUB833,network,SQL Server,3,1,3,incident,open,16,1295.5,Pending,2014-09-02 00:00:00
IM0000070,SUB828,database,Network Switch,2,3,1,request,open,5,1202.96,Other,2012-03-17 00:00:00
IM0000071,SUB937,network,Email Service,1,3,2,request,open,28,2515.02,Resolved,2014-09-05 00:00:00
IM0000072,SUB699,server,File Server,1,3,3,incident,in-progress,18,3142.05,Other,2012-02-11 00:00:00
IM0000073,SUB862,database,File Server,2,1,3,request,open,20,3320.96,Pending,2013-05-28 00:00:00
IM0000074,SUB291,network,Web Application,4,5,5,incident,closed,27,1093.76,Pending,2013-05-21 00:00:00
IM0000075,SUB973,storage,File Server,1,2,3,request,in-progress,4,2504.99,Other,2013-09-06 00:00:00
IM0000076,SUB305,database,File Server,1,4,5,incident,open,1,993.52,Other,2013-06-08 00:00:00
IM0000077,SUB443,subapplication,SQL Server,1,3,3,request,closed,22,1445.07,Resolved,2013-09-22 00:00:00
IM0000078,SUB052,subapplication,Web Application,1,5,3,incident,in-progress,24,1624.01,Pending,2013-08-30 00:00:00
IM0000079,SUB721,subapplication,File Server,1,3,3,incident,open,3,3920.19,Resolved,2012-06-02 00:00:00
IM0000080,SUB270,storage,Email Service,5,5,3,incident,open,7,147.46,Other,2013-02-08 00:00:00
IM0000081,SUB459,database,Email Service,5,2,2,request,in-progress,6,1299.28,Other,2014-07-04 00:00:00
IM0000082,SUB768,server,Web Application,3,4,1,incident,closed,14,2765.86,Resolved,2013-07-03 00:00:00
IM0000083,SUB025,database,Web Application,2,1,4,incident,open,10,642.63,Resolved,2014-01-29 00:00:00
IM0000084,SUB980,network,Web Application,5,1,3,incident,in-progress,8,813.88,Resolved,2012-04-18 00:00:00
IM0000085,SUB145,storage,Web Application,5,4,4,request,in-progress,14,3946.41,Pending,2014-01-26 00:00:00
IM0000086,SUB692,storage,Network Switch,4,5,1,incident,in-progress,30,2936.17,Other,2012-03-22 00:00:00
IM0000087,SUB875,storage,Web Application,4,4,1,request,open,0,1698.61,Resolved,2014-04-30 00:00:00
IM0000088,SUB487,database,Network Switch,4,3,3,incident,in-progress,10,858.32,Other,2014-01-11 00:00:00
IM0000089,SUB312,storage,SQL Server,4,1,3,incident,open,2,2445.57,Pending,2014-06-20 00:00:00
IM0000090,SUB111,database,SQL Server,4,2,4,request,closed,21,3828.5,Pending,2012-05-22 00:00:00
IM0000091,SUB182,network,Email Service,3,1,5,incident,in-progress,20,3789.04,Pending,2012-11-24 00:00:00
IM0000092,SUB435,network,Web Application,1,4,2,incident,open,28,2867.35,Pending,2014-09-09 00:00:00
IM0000093,SUB206,database,Web Application,2,4,2,request,in-progress,5,151.74,Resolved,2012-04-07 00:00:00
IM0000094,SUB332,network,Network Switch,2,5,5,incident,open,1,28.66,Pending,2013-09-18 00:00:00
IM0000095,SUB439,storage,File Server,1,5,1,request,closed,20,3031.39,Pending,2013-10-31 00:00:00
IM0000096,SUB402,database,Web Application,1,2,2,incident,closed,7,718.34,Pending,2012-01-11 00:00:00
IM0000097,SUB658,database,Web Application,5,2,5,incident,open,22,112.04,Pending,2013-06-26 00:00:00
IM0000098,SUB677,network,Email Service,1,1,2,request,in-progress,13,454.47,Resolved,2012-07-05 00:00:00
IM0000099,SUB339,server,Web Application,4,5,2,request,open,28,3529.16,Pending,2012-04-25 00:00:00
IM0000100,SUB244,storage,Network Switch,2,1,5,request,open,19,282.84,Other,2012-04-29 00:00:00
IM0000101,SUB519,database,File Server,3,1,5,request,in-progress,16,3289.16,Resolved,2013-09-11 00:00:00
IM0000102,SUB092,network,Email Service,2,5,2,incident,in-progress,5,1682.16,Resolved,2014-10-04 00:00:00
IM0000103,SUB561,server,SQL Server,1,4,5,request,in-progress,5,2786.83,Resolved,2014-06-06 00:00:00
IM0000104,SUB701,network,SQL Server,4,5,1,request,closed,27,215.43,Pending,2013-07-20 00:00:00
IM0000105,SUB367,network,Email Service,3,1,1,incident,closed,16,1120.43,Pending,2013-09-13 00:00:00
IM0000106,SUB814,storage,Network Switch,1,4,2,request,in-progress,5,3962.75,Resolved,2012-02-12 00:00:00
IM0000107,SUB325,storage,Email Service,3,3,5,incident,in-progress,12,2763.15,Pending,2014-07-15 00:00:00
IM0000108,SUB495,database,Email Service,2,1,3,incident,closed,3,1210.83,Other,2012-08-16 00:00:00
IM0000109,SUB037,network,Network Switch,1,3,2,incident,open,15,669.93,Resolved,2013-05-08 00:00:00
IM0000110,SUB379,storage,Web Application,3,3,4,request,in-progress,6,2330.96,Resolved,2014-10-23 00:00:00
IM0000111,SUB518,server,SQL Server,2,1,1,request,closed,26,804.43,Pending,2014-05-30 00:00:00
IM0000112,SUB590,subapplication,File Server,2,5,5,request,in-progress,14,3699.73,Other,2013-10-16 00:00:00
IM0000113,SUB795,database,SQL Server,3,3,4,request,closed,21,2442.73,Other,2013-05-12 00:00:00
IM0000114,SUB685,network,Web Application,4,4,1,incident,closed,15,275.02,Other,2013-12-23 00:00:00
IM0000115,SUB569,database,Email Service,2,4,4,request,closed,20,310.93,Other,2013-11-24 00:00:00
IM0000116,SUB702,subapplication,Network Switch,4,4,4,incident,in-progress,22,655.18,Resolved,2014-11-01 00:00:00
IM0000117,SUB064,subapplication,SQL Server,2,5,3,request,open,29,2670.97,Other,2012-09-08 00:00:00
IM0000118,SUB107,storage,Network Switch,4,3,4,incident,closed,25,2969.37,Other,2013-04-30 00:00:00
IM0000119,SUB646,subapplication,SQL Server,4,4,3,incident,in-progress,15,609.89,Other,2012-07-16 00:00:00
IM0000120,SUB663,subapplication,SQL Server,3,3,3,incident,closed,24,3441.98,Pending,2013-04-12 00:00:00
IM0000121,SUB459,server,Web Application,2,2,5,request,in-progress,19,1717.98,Pending,2012-04-09 00:00:00
IM0000122,SUB866,network,Email Service,2,1,4,incident,open,30,1552.51,Pending,2013-01-22 00:00:00
IM0000123,SUB492,storage,Email Service,4,1,4,incident,open,14,3969.16,Resolved,2013-05-13 00:00:00
IM0000124,SUB687,storage,Network Switch,4,5,2,incident,open,27,1189.8,Pending,2013-05-26 00:00:00
IM0000125,SUB741,subapplication,Email Service,5,3,4,request,closed,24,803.81,Resolved,2013-01-20 00:00:00
IM0000126,SUB982,database,Network Switch,5,1,4,incident,open,24,2591.48,Other,2013-01-09 00:00:00
IM0000127,SUB578,database,File Server,3,1,2,incident,closed,17,1482.95,Other,2013-08-26 00:00:00
IM0000128,SUB474,subapplication,File Server,5,4,4,incident,open,10,2169.88,Pending,2012-02-19 00:00:00
IM0000129,SUB982,server,Email Service,1,1,2,request,closed,21,3482.87,Resolved,2012-05-07 00:00:00
IM0000130,SUB429,storage,Email Service,2,5,3,request,closed,6,3893.23,Pending,2014-07-05 00:00:00
IM0000131,SUB397,storage,Network Switch,2,4,2,request,in-progress,18,3613.35,Pending,2013-08-31 00:00:00
IM0000132,SUB656,server,Network Switch,3,3,4,incident,open,30,2164.11,Resolved,2012-04-29 00:00:00
IM0000133,SUB576,server,File Server,3,1,1,incident,closed,28,3422.08,Pending,2014-11-23 00:00:00
IM0000134,SUB338,network,Network Switch,5,1,2,request,closed,4,2025.07,Pending,2013-10-05 00:00:00
IM0000135,SUB104,network,SQL Server,4,1,4,incident,in-progress,15,3561.23,Resolved,2014-09-12 00:00:00
IM0000136,SUB027,storage,Email Service,3,2,4,request,open,11,526.44,Resolved,2012-08-10 00:00:00
IM0000137,SUB254,network,SQL Server,3,3,4,incident,open,12,381.36,Resolved,2012-04-30 00:00:00
IM0000138,SUB907,database,SQL Server,4,2,3,request,open,16,3533.39,Pending,2013-11-04 00:00:00
IM0000139,SUB470,subapplication,File Server,1,5,5,request,open,30,2123.84,Other,2013-06-05 00:00:00
IM0000140,SUB443,subapplication,Email Service,2,3,5,request,in-progress,1,3401.32,Resolved,2013-12-29 00:00:00
IM0000141,SUB612,storage,Network Switch,2,5,4,request,in-progress,16,3157.68,Pending,2012-08-11 00:00:00
IM0000142,SUB158,network,File Server,1,3,2,request,open,5,2950.55,Other,2014-10-17 00:00:00
IM0000143,SUB201,database,Web Application,1,4,4,incident,closed,28,3460.01,Resolved,2014-03-27 00:00:00
IM0000144,SUB777,network,Email Service,4,2,3,incident,open,24,1193.45,Other,2012-08-27 00:00:00
IM0000145,SUB581,network,Web Application,3,5,5,request,open,18,3360.56,Pending,2014-04-10 00:00:00
IM0000146,SUB820,storage,SQL Server,5,1,1,request,closed,16,3186.3,Resolved,2014-12-30 00:00:00
IM0000147,SUB381,server,Network Switch,2,2,1,request,open,2,1762.84,Other,2014-11-17 00:00:00
IM0000148,SUB425,subapplication,File Server,3,1,2,incident,in-progress,20,2180.12,Resolved,2012-09-11 00:00:00
IM0000149,SUB739,network,SQL Server,2,4,3,incident,open,12,2475.59,Resolved,2013-12-23 00:00:00
IM0000150,SUB955,subapplication,SQL Server,3,2,5,request,closed,14,3653.77,Resolved,2013-07-22 00:00:00
IM0000151,SUB250,network,Email Service,2,5,1,incident,open,20,116.04,Other,2012-07-23 00:00:00
IM0000152,SUB429,database,Web Application,4,2,4,incident,open,6,1289.68,Pending,2013-10-19 00:00:00
IM0000153,SUB808,server,Web Application,1,1,2,request,closed,17,2035.46,Resolved,2013-08-28 00:00:00
IM0000154,SUB227,storage,File Server,4,2,1,request,in-progress,4,2348.39,Pending,2014-02-26 00:00:00
IM0000155,SUB955,server,Email Service,2,5,3,request,in-progress,3,3071.88,Resolved,2014-04-11 00:00:00
IM0000156,SUB318,subapplication,Network Switch,4,1,5,incident,open,20,181.35,Resolved,2013-02-10 00:00:00
IM0000157,SUB679,server,Web Application,1,5,4,request,in-progress,0,3697.79,Resolved,2014-04-17 00:00:00
IM0000158,SUB573,server,Email Service,2,3,3,request,closed,1,809.64,Other,2012-10-01 00:00:00
IM0000159,SUB655,storage,File Server,2,3,1,incident,open,29,1299.58,Resolved,2014-06-18 00:00:00
IM0000160,SUB968,database,Web Application,3,5,5,request,open,14,558.21,Other,2014-04-08 00:00:00
IM0000161,SUB444,server,File Server,1,4,3,incident,open,7,1275.51,Resolved,2012-05-12 00:00:00
IM0000162,SUB278,network,Web Application,1,4,4,request,open,7,2192.23,Pending,2013-11-30 00:00:00
IM0000163,SUB215,subapplication,SQL Server,2,3,3,incident,open,15,1080.06,Resolved,2012-11-12 00:00:00
IM0000164,SUB937,database,File Server,5,4,5,request,in-progress,3,3021.62,Other,2014-06-13 00:00:00
IM0000165,SUB641,subapplication,File Server,5,2,3,incident,closed,0,667.59,Other,2013-11-14 00:00:00
IM0000166,SUB543,storage,File Server,4,3,5,request,in-progress,28,3797.08,Resolved,2014-05-03 00:00:00
IM0000167,SUB941,network,Email Service,5,3,3,incident,open,25,2078.89,Other,2013-05-06 00:00:00
IM0000168,SUB919,network,SQL Server,3,3,2,request,closed,25,1709.41,Pending,2012-12-07 00:00:00
IM0000169,SUB427,storage,File Server,3,5,4,request,closed,30,3525.28,Pending,2013-10-20 00:00:00
IM0000170,SUB397,database,SQL Server,1,2,3,request,in-progress,29,1733.8,Resolved,2013-08-31 00:00:00
IM0000171,SUB378,server,Email Service,4,5,3,incident,in-progress,11,526.67,Pending,2014-01-07 00:00:00
IM0000172,SUB134,subapplication,Web Application,1,4,3,request,open,9,1596.67,Other,2014-07-27 00:00:00
IM0000173,SUB779,network,File Server,2,2,5,incident,in-progress,10,3685.22,Other,2012-09-29 00:00:00
IM0000174,SUB685,database,SQL Server,5,3,1,request,closed,11,3241.77,Resolved,2013-04-15 00:00:00
IM0000175,SUB185,database,Email Service,4,4,4,request,closed,17,3025.51,Other,2013-06-23 00:00:00
IM0000176,SUB893,network,SQL Server,5,1,5,request,in-progress,25,3998.04,Other,2014-11-28 00:00:00
IM0000177,SUB132,network,Network Switch,5,3,1,incident,closed,8,524.24,Pending,2012-04-09 00:00:00
IM0000178,SUB528,network,Web Application,1,3,3,incident,in-progress,24,1654.55,Resolved,2013-07-01 00:00:00
IM0000179,SUB056,storage,File Server,3,3,2,incident,open,16,2332.57,Other,2014-05-15 00:00:00
IM0000180,SUB820,server,Email Service,5,3,2,request,open,14,2158.53,Resolved,2014-03-10 00:00:00
IM0000181,SUB050,subapplication,Network Switch,1,3,2,incident,closed,12,1359.15,Pending,2014-05-29 00:00:00
IM0000182,SUB787,server,Network Switch,3,2,2,request,open,13,3694.81,Resolved,2012-06-29 00:00:00
IM0000183,SUB990,database,File Server,4,5,1,incident,closed,23,3121.89,Other,2013-02-12 00:00:00
IM0000184,SUB661,subapplication,Email Service,3,4,2,request,open,26,3686.08,Other,2013-07-06 00:00:00
IM0000185,SUB930,network,Network Switch,1,5,1,request,in-progress,17,3759.31,Pending,2012-01-14 00:00:00
IM0000186,SUB155,network,Email Service,3,5,1,incident,open,16,1347.22,Pending,2014-08-07 00:00:00
IM0000187,SUB336,network,File Server,1,1,4,request,in-progress,22,2248.75,Resolved,2014-05-27 00:00:00
IM0000188,SUB129,database,Network Switch,4,2,2,request,in-progress,11,2263.6,Other,2012-03-05 00:00:00
IM0000189,SUB550,server,Network Switch,3,2,3,incident,in-progress,17,1145.67,Other,2012-12-06 00:00:00
IM0000190,SUB793,subapplication,Network Switch,4,3,4,incident,open,3,3703.04,Other,2012-01-17 00:00:00
IM0000191,SUB144,server,Network Switch,4,2,4,request,open,24,2714.94,Other,2013-02-09 00:00:00
IM0000192,SUB350,network,Web Application,4,2,2,request,in-progress,19,1610.47,Pending,2012-01-19 00:00:00
IM0000193,SUB074,subapplication,File Server,3,5,5,incident,closed,13,1376.05,Other,2013-10-12 00:00:00
IM0000194,SUB826,server,SQL Server,2,4,4,request,in-progress,16,81.9,Other,2014-05-28 00:00:00
IM0000195,SUB122,storage,Web Application,2,1,4,incident,closed,9,2443.31,Pending,2014-01-11 00:00:00
IM0000196,SUB192,server,SQL Server,4,1,5,request,in-progress,29,1074.2,Other,2013-12-18 00:00:00
IM0000197,SUB824,database,Email Service,5,1,5,incident,in-progress,9,1930.92,Pending,2012-07-08 00:00:00
IM0000198,SUB828,network,SQL Server,2,5,3,request,open,14,2818.04,Other,2013-08-03 00:00:00
IM0000199,SUB319,network,Network Switch,1,2,5,request,closed,27,203.12,Pending,2014-05-26 00:00:00
IM0000200,SUB349,storage,File Server,1,2,5,incident,open,14,3632.4,Pending,2013-04-18 00:00:00
IM0000201,SUB561,server,SQL Server,4,1,3,incident,open,1,410.93,Pending,2012-08-04 00:00:00
IM0000202,SUB057,storage,SQL Server,4,4,5,incident,closed,9,227.62,Resolved,2014-06-08 00:00:00
IM0000203,SUB002,database,Network Switch,5,1,4,incident,open,24,1868.48,Pending,2012-01-08 00:00:00
IM0000204,SUB056,storage,File Server,1,5,5,incident,closed,23,2082.17,Pending,2014-02-13 00:00:00
IM0000205,SUB873,server,File Server,3,5,4,request,in-progress,18,1385.8,Pending,2013-06-14 00:00:00
IM0000206,SUB678,server,SQL Server,3,1,4,request,in-progress,20,1553.5,Pending,2012-06-05 00:00:00
IM0000207,SUB881,network,SQL Server,1,5,5,request,in-progress,15,2388.99,Other,2014-10-21 00:00:00
IM0000208,SUB985,database,Network Switch,1,1,2,request,in-progress,1,2791.8,Pending,2012-02-10 00:00:00
IM0000209,SUB183,network,Email Service,4,2,2,request,in-progress,8,2775.16,Resolved,2012-03-30 00:00:00
IM0000210,SUB452,subapplication,SQL Server,5,4,5,incident,in-progress,5,577.07,Pending,2012-12-22 00:00:00
IM0000211,SUB994,storage,Web Application,5,5,2,incident,closed,10,1199.31,Other,2014-08-15 00:00:00
IM0000212,SUB478,network,File Server,5,5,5,incident,open,7,302.84,Resolved,2012-06-16 00:00:00
IM0000213,SUB038,subapplication,Web Application,2,1,1,incident,open,20,1473.18,Resolved,2014-02-01 00:00:00
IM0000214,SUB586,network,File Server,4,2,1,incident,closed,13,2718.39,Resolved,2013-10-14 00:00:00
IM0000215,SUB852,network,File Server,4,1,5,request,open,25,2314.93,Resolved,2013-04-09 00:00:00
IM0000216,SUB386,storage,Email Service,1,2,4,request,in-progress,9,287.68,Resolved,2012-11-28 00:00:00
IM0000217,SUB934,network,Web Application,1,2,3,request,open,7,1287.44,Pending,2013-04-25 00:00:00
IM0000218,SUB787,server,Email Service,1,5,1,incident,closed,4,1056.77,Pending,2013-08-29 00:00:00
IM0000219,SUB902,network,File Server,4,2,4,request,open,27,1372.71,Resolved,2013-10-02 00:00:00
IM0000220,SUB069,subapplication,Network Switch,2,4,3,incident,closed,20,400.2,Resolved,2012-12-27 00:00:00
IM0000221,SUB011,storage,SQL Server,4,1,1,incident,closed,19,498.46,Resolved,2012-12-06 00:00:00
IM0000222,SUB509,storage,File Server,1,1,1,request,in-progress,3,3065.77,Pending,2014-07-11 00:00:00
IM0000223,SUB693,storage,File Server,1,2,1,incident,open,27,2049.24,Other,2013-08-03 00:00:00
IM0000224,SUB671,storage,Web Application,5,5,5,request,in-progress,16,216.89,Resolved,2012-09-01 00:00:00
IM0000225,SUB679,database,File Server,5,3,1,request,in-progress,27,1464.68,Other,2012-12-01 00:00:00
IM0000226,SUB705,network,File Server,3,2,1,request,closed,10,2891.79,Other,2014-04-17 00:00:00
IM0000227,SUB940,network,Network Switch,2,5,4,request,in-progress,23,3495.7,Other,2014-04-30 00:00:00
IM0000228,SUB607,network,Network Switch,2,5,3,request,open,6,490.69,Pending,2013-02-03 00:00:00
IM0000229,SUB288,subapplication,SQL Server,2,1,1,incident,in-progress,14,974.69,Resolved,2014-09-20 00:00:00
IM0000230,SUB021,server,Web Application,4,4,2,request,in-progress,6,2490.99,Resolved,2014-07-06 00:00:00
IM0000231,SUB439,database,Email Service,1,2,1,request,open,2,3650.17,Resolved,2012-11-16 00:00:00
IM0000232,SUB881,database,Web Application,3,4,5,incident,in-progress,0,1535.61,Resolved,2013-03-19 00:00:00
IM0000233,SUB656,server,Email Service,5,1,4,incident,closed,17,900.44,Pending,2012-07-17 00:00:00
IM0000234,SUB257,server,SQL Server,2,3,2,request,closed,0,2656.34,Resolved,2014-05-20 00:00:00
IM0000235,SUB909,subapplication,Email Service,1,4,2,incident,open,29,1028.56,Pending,2013-03-11 00:00:00
IM0000236,SUB602,server,Web Application,2,4,2,request,closed,25,1285.07,Resolved,2014-06-17 00:00:00
IM0000237,SUB590,subapplication,File Server,3,1,3,incident,closed,8,2951.87,Other,2012-12-24 00:00:00
IM0000238,SUB024,subapplication,Email Service,5,5,5,request,in-progress,15,1427.91,Pending,2014-09-17 00:00:00
IM0000239,SUB928,subapplication,Email Service,3,3,4,request,open,27,3691.72,Pending,2013-06-08 00:00:00
IM0000240,SUB875,server,File Server,5,1,1,incident,closed,13,896.17,Other,2012-10-20 00:00:00
IM0000241,SUB506,storage,Email Service,4,4,4,incident,in-progress,23,3245.57,Other,2012-03-20 00:00:00
IM0000242,SUB790,server,File Server,5,1,5,request,in-progress,13,366.79,Other,2012-09-04 00:00:00
IM0000243,SUB167,storage,File Server,1,5,1,incident,closed,20,3321.88,Resolved,2014-10-06 00:00:00
IM0000244,SUB061,server,File Server,1,1,5,incident,in-progress,15,3478.18,Other,2012-10-29 00:00:00
IM0000245,SUB456,network,Web Application,2,3,1,incident,in-progress,29,1865.89,Resolved,2013-07-26 00:00:00
IM0000246,SUB229,network,File Server,4,3,3,incident,in-progress,20,395.9,Other,2012-09-21 00:00:00
IM0000247,SUB330,database,File Server,1,4,3,request,in-progress,29,171.34,Resolved,2012-10-28 00:00:00
IM0000248,SUB288,storage,Email Service,4,1,5,incident,open,24,972.29,Other,2014-01-19 00:00:00
IM0000249,SUB915,network,Email Service,2,5,5,request,open,20,2757.05,Pending,2012-01-10 00:00:00
IM0000250,SUB795,storage,Network Switch,1,5,1,request,in-progress,1,506.41,Other,2013-02-08 00:00:00
IM0000251,SUB166,storage,Network Switch,3,1,5,request,open,26,3650.35,Resolved,2014-05-21 00:00:00
IM0000252,SUB055,storage,SQL Server,3,4,1,incident,in-progress,11,1058.82,Pending,2013-06-28 00:00:00
IM0000253,SUB212,storage,Email Service,5,3,3,request,closed,3,2947.21,Resolved,2014-06-06 00:00:00
